,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
278,21,41,24,1,1,87.50,5,run out,2,v New Zealand,Dharamsala
279,39,95,65,3,0,60.00,5,caught,2,v New Zealand,Delhi
280,80,122,91,6,3,87.91,4,caught,2,v New Zealand,Mohali
281,11,36,31,0,0,35.48,4,bowled,2,v New Zealand,Ranchi
282,41,64,59,4,1,69.49,4,lbw,1,v New Zealand,Visakhapatnam
283,6,7,6,1,0,100.00,5,caught,2,v England,Pune
284,134,203,122,10,6,109.83,5,caught,1,v England,Cuttack
285,25,45,36,1,1,69.44,5,caught,2,v England,Kolkata
286,DNB,-,-,-,-,-,-,-,1,v Pakistan,Birmingham
287,63,78,52,7,2,121.15,5,caught,1,v Sri Lanka,The Oval
288,DNB,-,-,-,-,-,-,-,2,v South Africa,The Oval
289,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Birmingham
290,4,23,16,0,0,25.00,5,caught,2,v Pakistan,The Oval
291,9*,-,9,1,0,100.00,5,not out,1,v West Indies,Port of Spain
292,13*,-,13,1,0,100.00,6,not out,1,v West Indies,Port of Spain
293,78*,-,79,4,2,98.73,5,not out,1,v West Indies,North Sound
294,54,-,114,1,0,47.36,5,caught,2,v West Indies,North Sound
295,DNB,-,-,-,-,-,-,-,2,v West Indies,Kingston
296,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Dambulla
297,45*,-,68,1,0,66.17,6,not out,2,v Sri Lanka,Pallekele
298,67*,-,86,4,1,77.90,6,not out,2,v Sri Lanka,Pallekele
299,49*,-,42,5,1,116.66,7,not out,1,v Sri Lanka,Colombo (RPS)
300,1*,-,1,0,0,100.00,6,not out,2,v Sri Lanka,Colombo (RPS)
301,79,152,88,4,2,89.77,6,caught,1,v Australia,Chennai
302,5,19,10,1,0,50.00,6,caught,1,v Australia,Kolkata
303,3*,9,6,0,0,50.00,7,not out,2,v Australia,Indore
304,13,12,10,1,1,130.00,7,bowled,2,v Australia,Bengaluru
305,DNB,-,-,-,-,-,-,-,2,v Australia,Nagpur
306,25,54,42,2,0,59.52,6,caught,1,v New Zealand,Mumbai
307,18*,22,21,3,0,85.71,6,not out,2,v New Zealand,Pune
308,25,29,17,3,0,147.05,5,caught,1,v New Zealand,Kanpur
309,65,129,87,10,2,74.71,6,caught,1,v Sri Lanka,Dharamsala
310,7,11,5,0,1,140.00,4,lbw,1,v Sri Lanka,Mohali
311,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Visakhapatnam
312,4*,5,3,1,0,133.33,6,not out,2,v South Africa,Durban
313,DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion
314,10,38,22,0,0,45.45,6,caught,1,v South Africa,Cape Town
315,42*,66,43,3,1,97.67,6,not out,1,v South Africa,Johannesburg
316,13,28,17,1,0,76.47,7,caught,1,v South Africa,Port Elizabeth
317,DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion
318,DNB,-,-,-,-,-,-,-,2,v England,Nottingham
319,37,-,59,2,0,62.71,6,caught,2,v England,Lord's
320,42,90,66,4,0,63.63,5,caught,1,v England,Leeds
321,0,-,3,0,0,0.00,5,caught,1,v Hong Kong,Dubai (DSC)
322,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC)
323,33,-,37,3,0,89.18,4,caught,2,v Bangladesh,Dubai (DSC)
324,DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC)
325,8,-,17,0,0,47.05,4,lbw,2,v Afghanistan,Dubai (DSC)
326,36,-,67,3,0,53.73,5,caught,2,v Bangladesh,Dubai (DSC)
327,DNB,-,-,-,-,-,-,-,2,v West Indies,Guwahati
328,20,31,25,0,1,80.00,5,bowled,1,v West Indies,Visakhapatnam
329,7,-,11,0,0,63.63,6,caught,2,v West Indies,Pune
330,23,-,15,2,0,153.33,5,caught,1,v West Indies,Mumbai (BS)
331,DNB,-,-,-,-,-,-,-,2,v West Indies,Thiruvananthapuram
332,51,110,96,3,1,53.12,5,lbw,2,v Australia,Sydney
333,55*,96,54,0,2,101.85,5,not out,2,v Australia,Adelaide
334,87*,-,114,6,0,76.31,4,not out,2,v Australia,Melbourne
335,DNB,-,-,-,-,-,-,-,2,v New Zealand,Napier
336,48*,48,33,5,1,145.45,5,not out,1,v New Zealand,Mount Maunganui
337,1,13,6,0,0,16.66,5,bowled,1,v New Zealand,Wellington
338,59*,-,72,6,1,81.94,5,not out,2,v Australia,Hyderabad (Deccan)
339,0,-,1,0,0,0.00,7,caught,1,v Australia,Nagpur
340,26,-,42,2,1,61.90,5,bowled,2,v Australia,Ranchi
341,34,69,46,2,0,73.91,5,caught,2,v South Africa,Southampton
342,27,20,14,3,1,192.85,5,caught,1,v Australia,The Oval
343,1,8,2,0,0,50.00,5,caught,1,v Pakistan,Manchester
344,28,75,52,3,0,53.84,5,stumped,1,v Afghanistan,Southampton
345,56*,99,61,3,2,91.80,6,not out,1,v West Indies,Manchester
346,42*,54,31,4,1,135.48,6,not out,2,v England,Birmingham
347,35,52,33,4,0,106.06,6,caught,1,v Bangladesh,Birmingham
348,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Leeds
349,50,114,72,1,1,69.44,7,run out,2,v New Zealand,Manchester
